집행목적,대상인원,집행금액,1소속부서,집행지주소,집행지명,cnt
"박원순 시장, 시민문화시설 공사현장 방문 관련 간담회",대변인 등 8명,175000,대변인,중구 세종대로,우도일식,1
시정 집중사업 홍보방안 마련 간담회,언론담당관 등 8명,213000,대변인,중구 세종대로22길,해조스시,1
서울시 일자리카페 올해 100개소까지 확대 보도자료 관련 간담회,신문팀장 등 6명,108930,대변인,중구 세종대로20길,닥터로빈,1
당번 노고 격려 간담회,신문팀장 등 3명,12000,대변인,중구 남대문로9길,충무집김밥,1
인터넷뉴스 모니터링 활성화 방안 마련 간담회,인터넷뉴스팀장 등 9명,250000,대변인,중구 무교로 ,무교소호정,1
맑은아파트 만들기 위한 아파트관리 주민학교 운영 보도자료 관련 간담회,인터넷뉴스팀장 등 5명,60000,대변인,중구 무교로,아바,1
언론 홍보 시의회 협조방안 마련 간담회,행정팀장 등 5명,110000,대변인,중구 덕수궁길,복성각,1
방송아이템 발굴 업무협의 간담회,언론담당관 등 2명,24000,대변인,중구 무교동,남이섬,1
기자실 운영 지원방안 업무협의 간담회,행정팀장 등 4명,75000,대변인,중구 무교로,참숯골,1
"서울시, '혐오문화, 데이트폭력, 디지털성범죄' 추방에 총력 기자설명회 관련 간담회",신문팀장 등 10명,281000,대변인,중구 세종대로14길,대복,1
해외순방 언론취재 지원 방안 마련 간담회,신문팀장 등 4명,97000,대변인,중구 을지로3길,경성양꼬치,1
"서울지하철, 안전지하철로 탈바꿈한다 기자설명회 관련 간담회",대변인 등 7명,120000,대변인,중구 남대문로9길,세림,1
미디어상황실 개선방안 마련 간담회,행정팀장 등 4명,75000,대변인,중구 무교로,참숯골,1
당번 업무 개선방안 마련 업무협의 간담회,행정팀 성옥현 등 4명,54000,대변인,중구 무교로,왕비집,1
"서울시, 140개 봄행사프로그램 운영 보도자료 관련 간담회",신문팀장 등 3명,75000,대변인,중구 세종대로,더테이블한정식,1
"서울시, '사회적경제' 4천개 육성, 취약계층 일자리 창출 보도자료 관련 간담회",대변인 등 7명,190500,대변인,중구 남대문로9길,해우리,1
청렴특별시 반부패 청렴정책 수립 보도자료 관련 간담회,신문팀 박정아 등 4명,87000,대변인,중구 덕수궁길,바닷가작은부엌,1
당번 노고 격려 간담회,인터넷뉴스팀장 등 3명,16200,대변인,중구 명동8길,맘스터치,1
언론사 동정 관리 업무협의 간담회,언론담당관 등 2명,39000,대변인,중구 남대문로9길,목포세발낙지,1
대표단 해외순방 업무협의 간담회,신문팀장 등 4명,83000,대변인,중구 무교로,기린,1
해외순방 방송취재 지원방안 마련 간담회,벙송팀장 등 9명,93100,대변인,중구 무교로,마마스,1
